,Река,Длина (км),Водосборный бассейн (км²),Средний расход воды (м³/с),Бассейн,Страны в водосборном бассейне
46,Арканзас,2348,505000(435 122),1066,Миссисипи,США
47,Колорадо,2333,390000,1200,Калифорнийский залив,"США, Мексика"
48,Убанги — Уэле,2300,772800,4003,Конго,"ДРК, ЦАР"
49,Оленёк,2292,219000,1210,море Лаптевых,Россия
50,Днепр,2287,516300,1670,Чёрное море,"Россия, Беларусь, Украина"
51,Алдан,2273,729000,5060,Лена,Россия
52,Риу-Негру,2250,720114,26700,Амазонка,"Бразилия, Венесуэла, Колумбия"
53,Колумбия,2250(1 953),415211,7500,Тихий океан,"США, Канада"
54,Чжуцзян — Сицзян,2200,437000,13600,Южно-Китайское море,"КНР (98,5 %), Вьетнам (1,5 %)"
55,Южная Ред-Ривер,2188,78592,875,Миссисипи,США
56,Иравади,2170,411000,13000,Андаманское море,Мьянма
57,Касаи,2153,880200,10000,Конго,"Ангола, ДРК"
58,Огайо — Аллегейни,2102,490603,7957,Миссисипи,США
59,Тарим,2100,557000,900,Лоб-Нор,КНР
60,Шингу,2100,513000,8670,Амазонка,Бразилия
61,Оранжевая,2092,973000,800,Атлантический океан,"ЮАР, Намибия, Ботсвана, Лесото"
62,Кама,2039,522000,4300,Волга,Россия
63,Саладо (приток Параны),2010,160000,15,Парана,Аргентина
64,Витим,1978,225000,1520,Лена,Россия
65,Тигр,1950,375000,1000,Шатт-эль-Араб,"Турция, Ирак, Сирия, Иран"
66,Сунгари,1927,524000,2500,Амур,КНР
67,Тапажос,1900,487000,15000,Амазонка,Бразилия
68,Дон,1870,425600,935,Азовское море,Россия
69,Подкаменная Тунгуска,1865,240000,1590,Енисей,Россия
70,Печора,1809,322000,4100,Баренцево море,Россия
71,Лимпопо,1800,413000,170,Индийский океан,"Мозамбик, Зимбабве, ЮАР, Ботсвана"
72,Чулым,1799,134000,785,Обь,Россия
73,Гуапоре,1749,266500,1530,Маморе,"Бразилия, Боливия"
74,Мараньон,1737,358000,16700,Амазонка,Перу
75,Индигирка,1726[37]  1977[источник не указан 803 дня] Индигирка — Хастах,360400,1810,Восточно-Сибирское море,Россия
76,Снейк,1670 (1735),279719,1611,Колумбия,США
77,Сенегал,1641 (1930),419659,670,Атлантический океан,"Сенегал, Мали, Мавритания"
78,Кеть,1621,94200,560,Обь,Россия
79,Уругвай,1610 (2200),370000,5500,Атлантический океан,"Уругвай, Аргентина, Бразилия"
80,Голубой Нил,1600 (1783),325000,2350,Нил,"Эфиопия, Судан"
81,Черчилл,1600,282000,1200,Гудзонов залив,Канада
82,Хатанга — Котуй,1636,364000,3320,море Лаптевых,Россия
83,Окаванго,1600,800000,475,дельта Окаванго,"Намибия, Ангола, Ботсвана"
84,Вольта,1600,388000,1290,Гвинейский залив,"Гана, Буркина-Фасо, Того, Кот-д’Ивуар, Бенин"
85,Бени,1619 (1599),133010,11850,Маморе,Боливия
86,Платт,1594 (1415),241000,150,Миссури,
87,Шилка — Онон,1592[38],206000,550,Амур,"Монголия, Россия"
88,Тобол,1591,426000,805,Иртыш,"Казахстан, Россия"
